date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.970001,32.970001,32.970001,32.970001,23.060644,0
2000-01-04,31.670000,31.670000,31.670000,31.670000,22.151363,0
2000-01-05,31.690001,31.690001,31.690001,31.690001,22.165352,0
2000-01-06,31.590000,31.590000,31.590000,31.590000,22.095413,0
2000-01-07,32.470001,32.470001,32.470001,32.470001,22.710926,0
2000-01-10,33.020000,33.020000,33.020000,33.020000,23.095610,0
2000-01-11,32.509998,32.509998,32.509998,32.509998,22.738897,0
2000-01-12,32.290001,32.290001,32.290001,32.290001,22.585024,0
2000-01-13,32.790001,32.790001,32.790001,32.790001,22.934732,0
2000-01-14,33.180000,33.180000,33.180000,33.180000,23.207529,0
2000-01-18,33.099998,33.099998,33.099998,33.099998,23.151567,0
2000-01-19,33.230000,33.230000,33.230000,33.230000,23.242495,0
2000-01-20,33.150002,33.150002,33.150002,33.150002,23.186543,0
2000-01-21,33.200001,33.200001,33.200001,33.200001,23.221514,0
2000-01-24,32.330002,32.330002,32.330002,32.330002,22.613003,0
2000-01-25,32.500000,32.500000,32.500000,32.500000,22.731907,0
2000-01-26,32.369999,32.369999,32.369999,32.369999,22.640974,0
2000-01-27,32.230000,32.230000,32.230000,32.230000,22.543055,0
2000-01-28,31.320000,31.320000,31.320000,31.320000,21.906557,0
2000-01-31,31.830000,31.830000,31.830000,31.830000,22.263277,0
2000-02-01,32.230000,32.230000,32.230000,32.230000,22.543055,0
2000-02-02,32.290001,32.290001,32.290001,32.290001,22.585024,0
2000-02-03,32.750000,32.750000,32.750000,32.750000,22.906765,0
2000-02-04,32.759998,32.759998,32.759998,32.759998,22.913763,0
2000-02-07,32.860001,32.860001,32.860001,32.860001,22.983700,0
2000-02-08,33.270000,33.270000,33.270000,33.270000,23.270481,0
2000-02-09,32.660000,32.660000,32.660000,32.660000,22.843819,0
2000-02-10,32.860001,32.860001,32.860001,32.860001,22.983700,0
2000-02-11,32.270000,32.270000,32.270000,32.270000,22.571035,0
2000-02-14,32.360001,32.360001,32.360001,32.360001,22.633987,0
2000-02-15,32.570000,32.570000,32.570000,32.570000,22.780861,0
2000-02-16,32.380001,32.380001,32.380001,32.380001,22.647976,0
2000-02-17,32.529999,32.529999,32.529999,32.529999,22.752886,0
2000-02-18,31.670000,31.670000,31.670000,31.670000,22.151363,0
2000-02-22,31.719999,31.719999,31.719999,31.719999,22.186333,0
2000-02-23,32.080002,32.080002,32.080002,32.080002,22.438137,0
2000-02-24,32.070000,32.070000,32.070000,32.070000,22.431139,0
2000-02-25,31.740000,31.740000,31.740000,31.740000,22.200325,0
2000-02-28,32.009998,32.009998,32.009998,32.009998,22.389175,0
2000-02-29,32.639999,32.639999,32.639999,32.639999,22.829834,0
2000-03-01,33.070000,33.070000,33.070000,33.070000,23.130585,0
2000-03-02,33.060001,33.060001,33.060001,33.060001,23.123594,0
2000-03-03,33.810001,33.810001,33.810001,33.810001,23.648172,0
2000-03-06,33.540001,33.540001,33.540001,33.540001,23.459328,0
2000-03-07,32.830002,32.830002,32.830002,32.830002,22.962723,0
2000-03-08,33.040001,33.040001,33.040001,33.040001,23.109606,0
2000-03-09,33.849998,33.849998,33.849998,33.849998,23.676153,0
2000-03-10,33.720001,33.720001,33.720001,33.720001,23.585224,0
2000-03-13,33.250000,33.250000,33.250000,33.250000,23.256491,0
2000-03-14,32.500000,32.500000,32.500000,32.500000,22.731907,0
2000-03-15,32.820000,32.820000,32.820000,32.820000,22.955727,0
2000-03-16,34.259998,34.259998,34.259998,34.259998,23.962923,0
2000-03-17,34.439999,34.439999,34.439999,34.439999,24.088816,0
2000-03-20,33.880001,33.880001,33.880001,33.880001,23.697132,0
2000-03-21,34.590000,34.590000,34.590000,34.590000,24.193737,0
2000-03-22,35.020000,35.020000,35.020000,35.020000,24.494505,0
2000-03-23,35.540001,35.540001,35.540001,35.540001,24.858202,0
2000-03-24,35.450001,35.450001,35.450001,35.450001,24.844193,0
2000-03-27,35.330002,35.330002,35.330002,35.330002,24.760098,0
2000-03-28,34.860001,34.860001,34.860001,34.860001,24.430710,0
2000-03-29,34.560001,34.560001,34.560001,34.560001,24.220463,0
2000-03-30,33.990002,33.990002,33.990002,33.990002,23.820997,0
2000-03-31,34.369999,34.369999,34.369999,34.369999,24.087307,0
2000-04-03,33.950001,33.950001,33.950001,33.950001,23.792961,0
2000-04-04,33.549999,33.549999,33.549999,33.549999,23.512630,0
2000-04-05,33.540001,33.540001,33.540001,33.540001,23.505625,0
2000-04-06,34.029999,34.029999,34.029999,34.029999,23.849024,0
2000-04-07,34.500000,34.500000,34.500000,34.500000,24.178423,0
2000-04-10,33.869999,33.869999,33.869999,33.869999,23.736887,0
2000-04-11,33.599998,33.599998,33.599998,33.599998,23.547680,0
2000-04-12,32.669998,32.669998,32.669998,32.669998,22.895897,0
2000-04-13,32.070000,32.070000,32.070000,32.070000,22.475409,0
2000-04-14,30.000000,30.000000,30.000000,30.000000,21.024706,0
2000-04-17,30.900000,30.900000,30.900000,30.900000,21.655441,0
2000-04-18,32.060001,32.060001,32.060001,32.060001,22.468397,0
2000-04-19,31.799999,31.799999,31.799999,31.799999,22.286182,0
2000-04-20,31.870001,31.870001,31.870001,31.870001,22.335247,0
2000-04-24,31.570000,31.570000,31.570000,31.570000,22.124998,0
2000-04-25,32.730000,32.730000,32.730000,32.730000,22.937956,0
2000-04-26,32.349998,32.349998,32.349998,32.349998,22.671642,0
2000-04-27,32.580002,32.580002,32.580002,32.580002,22.832829,0
2000-04-28,32.580002,32.580002,32.580002,32.580002,22.832829,0
2000-05-01,33.029999,33.029999,33.029999,33.029999,23.148199,0
2000-05-02,32.380001,32.380001,32.380001,32.380001,22.692673,0
2000-05-03,31.709999,31.709999,31.709999,31.709999,22.223120,0
2000-05-04,31.730000,31.730000,31.730000,31.730000,22.237135,0
2000-05-05,32.220001,32.220001,32.220001,32.220001,22.580542,0
2000-05-08,31.930000,31.930000,31.930000,31.930000,22.377295,0
2000-05-09,31.580000,31.580000,31.580000,31.580000,22.132002,0
2000-05-10,30.790001,30.790001,30.790001,30.790001,21.578354,0
2000-05-11,31.400000,31.400000,31.400000,31.400000,22.005856,0
2000-05-12,31.670000,31.670000,31.670000,31.670000,22.195082,0
2000-05-15,32.360001,32.360001,32.360001,32.360001,22.678658,0
2000-05-16,32.750000,32.750000,32.750000,32.750000,22.951971,0
2000-05-17,32.320000,32.320000,32.320000,32.320000,22.650616,0
2000-05-18,32.000000,32.000000,32.000000,32.000000,22.426353,0
2000-05-19,31.270000,31.270000,31.270000,31.270000,21.914755,0
2000-05-22,31.059999,31.059999,31.059999,31.059999,21.767580,0
2000-05-23,30.379999,30.379999,30.379999,30.379999,21.291021,0
2000-05-24,30.850000,30.850000,30.850000,30.850000,21.620401,0
2000-05-25,30.469999,30.469999,30.469999,30.469999,21.354099,0
2000-05-26,30.400000,30.400000,30.400000,30.400000,21.305038,0
2000-05-30,31.530001,31.530001,31.530001,31.530001,22.096966,0
2000-05-31,31.469999,31.469999,31.469999,31.469999,22.054926,0
2000-06-01,32.230000,32.230000,32.230000,32.230000,22.587545,0
2000-06-02,33.119999,33.119999,33.119999,33.119999,23.211269,0
2000-06-05,32.980000,32.980000,32.980000,32.980000,23.113167,0
2000-06-06,32.720001,32.720001,32.720001,32.720001,22.930948,0
2000-06-07,33.080002,33.080002,33.080002,33.080002,23.183245,0
2000-06-08,32.880001,32.880001,32.880001,32.880001,23.043087,0
2000-06-09,32.889999,32.889999,32.889999,32.889999,23.050091,0
2000-06-12,32.509998,32.509998,32.509998,32.509998,22.783773,0
2000-06-13,32.990002,32.990002,32.990002,32.990002,23.120169,0
2000-06-14,32.950001,32.950001,32.950001,32.950001,23.092134,0
2000-06-15,33.110001,33.110001,33.110001,33.110001,23.204271,0
2000-06-16,32.869999,32.869999,32.869999,32.869999,23.036058,0
2000-06-19,33.410000,33.410000,33.410000,33.410000,23.414518,0
2000-06-20,33.310001,33.310001,33.310001,33.310001,23.344429,0
2000-06-21,33.419998,33.419998,33.419998,33.419998,23.421522,0
2000-06-22,32.799999,32.799999,32.799999,32.799999,22.987011,0
2000-06-23,32.419998,32.419998,32.419998,32.419998,22.776253,0
2000-06-26,32.720001,32.720001,32.720001,32.720001,22.987013,0
2000-06-27,32.549999,32.549999,32.549999,32.549999,22.867580,0
2000-06-28,32.779999,32.779999,32.779999,32.779999,23.029165,0
2000-06-29,32.540001,32.540001,32.540001,32.540001,22.860561,0
2000-06-30,32.779999,32.779999,32.779999,32.779999,23.029165,0
2000-07-03,33.110001,33.110001,33.110001,33.110001,23.261005,0
2000-07-05,32.590000,32.590000,32.590000,32.590000,22.895681,0
2000-07-06,32.880001,32.880001,32.880001,32.880001,23.099419,0
2000-07-07,33.369999,33.369999,33.369999,33.369999,23.443663,0
2000-07-10,33.320000,33.320000,33.320000,33.320000,23.408535,0
2000-07-11,33.380001,33.380001,33.380001,33.380001,23.450691,0
