date,Category,net_worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2014:Q2,Next40,24024133,29652574,8908234,1964769,2498831,10186880,1194440,4899421,5628441,4360131,1101392,166918
2014:Q2,Bottom50,845712,5356614,2653520,1109583,142015,607828,135829,707838,4510901,2541291,1764650,204960
2014:Q3,Top1,24948211,25587567,3170868,761795,9521119,1637171,4479839,6016775,639355,418186,58259,162910
2014:Q3,Next9,31308936,33874536,6499446,975975,6665825,10441240,3003717,6288334,2565600,2071709,250382,243509
2014:Q3,Next40,23995312,29656952,9089942,1986747,2450253,10170606,1228702,4730703,5661640,4387475,1134186,139979
2014:Q3,Bottom50,855226,5353500,2657225,1115328,138790,602696,135692,703769,4498274,2503703,1800733,193838
2014:Q4,Top1,25586736,26238403,3228065,777320,9903325,1654193,4681574,5993926,651667,425519,59145,167003
2014:Q4,Next9,31808550,34365166,6603162,963063,6883870,10600289,3081397,6233385,2556616,2070639,258472,227505
2014:Q4,Next40,24604495,30327505,9231300,2000522,2499624,10238094,1241279,5116686,5723010,4418076,1167272,137662
2014:Q4,Bottom50,862857,5356975,2624288,1118421,142236,610252,140820,720959,4494118,2473009,1827004,194105
2015:Q1,Top1,26315391,26985969,3291175,788081,10249443,1693495,4813663,6150111,670578,431282,66940,172356
2015:Q1,Next9,32609139,35139827,6721425,953895,7081242,10726594,3202550,6454121,2530688,2057702,257521,215465
2015:Q1,Next40,24768079,30497667,9402399,2020994,2544081,10292956,1216767,5020470,5729587,4433773,1158140,137674
2015:Q1,Bottom50,923824,5361854,2607594,1123086,145296,607803,151574,726501,4438030,2428690,1813688,195652
2015:Q2,Top1,26593444,27276623,3356551,800631,10313904,1717155,4976842,6111541,683179,439508,68230,175441
2015:Q2,Next9,32870109,35412029,6876849,950021,7107030,10795776,3192074,6490279,2541920,2055030,265965,220925
2015:Q2,Next40,24744076,30562507,9591580,2056428,2538977,10293034,1237994,4844493,5818431,4478252,1193159,147020
2015:Q2,Bottom50,924611,5383119,2622433,1137882,145028,601074,151965,724737,4458509,2415060,1843051,200398
2015:Q3,Top1,26137446,26845099,3402432,791941,9451769,1734063,5130291,6334603,707653,448122,71789,187742
2015:Q3,Next9,32548865,35050485,6995746,959102,6566087,10664241,3179751,6685558,2501619,2060015,273252,168352
2015:Q3,Next40,24566845,30443447,9786483,2084143,2369727,10135021,1259484,4808590,5876602,4522492,1227179,126931
